"combos","SND","SFD","overlap","differential","feasibility","pair_to_all","LUI"
"Alo_pra.Dac_glo.Tri_pra",0.983251587763013,28.3038825031364,0.876,0.022,1,1,0.75
"Alo_pra.Dac_glo.Ran_rep",1.2290944915923,52.439740496241,0.951,0.024,1,1,0.75
"Alo_pra.Dac_glo.Bro_ere",0.688793912077078,18.4932263969593,0.609,-0.103,1,1,0.75
"Alo_pra.Dac_glo.Ran_acr",1.03237994953438,49.0798693199372,0.793,-0.001,1,1,0.75
"Alo_pra.Dac_glo.Bro_hor",1.42390948431495,41.4837900520347,0.968,0.018,1,1,0.75
"Alo_pra.Dac_glo.Pla_lan",0.713389161635,50.2901868807864,0.567,0.0720000000000001,0,0.666666666666667,0.75
"Alo_pra.Dac_glo.Ach_mil",1.25633556052825,49.8471647866493,0.856,0.0630000000000001,1,1,0.75
"Alo_pra.Dac_glo.Ant_syl",0.582094018064695,39.8422031355223,0.511,0.0269999999999999,1,0.666666666666667,0.75
"Alo_pra.Dac_glo.Her_sph",0.303376207320621,13.1775717910466,0.211,0.015,1,1,0.75
"Alo_pra.Dac_glo.Hel_pub",0.728225484962692,9.97013754138373,0.345,0.066,1,1,0.75
"Alo_pra.Dac_glo.Bra_pin",0.774575667991157,30.5814112983418,0.703,-0.003,1,1,0.75
"Alo_pra.Arr_ela.Fes_rub",1.07915175082889,34.8969300125203,0.84,0.02,1,1,0.75
"Alo_pra.Arr_ela.Tri_pra",0.799420566325934,27.7099024769433,0.627,0.08,1,1,0.75
"Alo_pra.Arr_ela.Ran_rep",1.21944362211366,41.7095747939843,0.951,0.029,1,1,0.75
"Alo_pra.Arr_ela.Bro_ere",0.841244834164297,14.7978527506262,0.75,-0.069,1,1,0.75
"Alo_pra.Arr_ela.Ran_acr",1.56343916066374,36.4984668539415,0.89,-0.024,1,1,0.75
"Alo_pra.Arr_ela.Bro_hor",1.0810754264625,37.0373671634384,0.875,0.026,1,1,0.75
"Alo_pra.Arr_ela.Pla_lan",1.40172740727095,31.2306827770029,0.966,-0.00800000000000001,1,1,0.75
"Alo_pra.Arr_ela.Ach_mil",1.42436001618186,42.6452499369702,1,0,1,1,0.75
"Alo_pra.Arr_ela.Ant_syl",1.16222031376893,18.0853249062414,0.866,0.049,1,1,0.75
"Alo_pra.Arr_ela.Her_sph",0.291937721841582,7.05708131204997,0.256,0.015,1,1,0.75
"Alo_pra.Arr_ela.Hel_pub",0.29342315379196,21.3666556473666,0.203,0.038,0,0.666666666666667,0.75
"Alo_pra.Arr_ela.Bra_pin",0.833627644570237,19.267629220449,0.766,-0.023,1,1,0.75
"Alo_pra.Fes_rub.Tri_pra",0.883332081921022,20.5152531625327,0.706,0.00700000000000001,1,1,0.75
"Alo_pra.Fes_rub.Ran_rep",1.49578700745152,52.0155262415519,1,0,1,1,0.75
"Alo_pra.Fes_rub.Bro_ere",0.66613293835166,21.8437000996258,0.574,-0.0860000000000001,1,1,0.75
