"Plot"	"Year"	"LUI"	"Poa_tri"	"Poa_pra"	"Alo_pra"	"Dac_glo"	"Tri_rep"	"Tar_off"	"Lol_per"	"Arr_ela"	"Fes_rub"	"Fes_pra"	"Tri_fla"	"Ely_rep"	"Tri_pra"	"Ran_rep"	"Bro_ere"	"Ran_acr"	"Bro_hor"	"Pla_lan"	"Ant_syl"	"Her_sph"	"Gal_mol"	"Hol_lan"	"Hel_pub"	"Car_hir"	"Bra_pin"	"Pha_aru"
"AEG21"	2009	3.8	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0
"AEG22"	2009	1.16	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0
"AEG23"	2009	1.02	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0
"AEG24"	2009	2.41	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0
"AEG25"	2009	0.86	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
"AEG26"	2009	1.48	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG27"	2009	0.96	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0
"AEG28"	2009	0.66	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0
"AEG29"	2009	1.58	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0
"AEG30"	2009	1.69	1	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0
"AEG31"	2009	1.33	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
"AEG32"	2009	0.55	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0
"AEG33"	2009	0.9	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
"AEG34"	2009	0.97	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0
"AEG35"	2009	1.74	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0
