"Plot"	"Year"	"LUI"	"rich_full"
"HEG24"	"2012"	1.66	29
"HEG25"	"2012"	1.2	32
"HEG26"	"2012"	0.97	17
"HEG27"	"2012"	1.96	31
"HEG28"	"2012"	1.37	36
"HEG29"	"2012"	1.37	37
"HEG30"	"2012"	2.71	24
"HEG31"	"2012"	1.94	35
"HEG32"	"2012"	2.11	14
"HEG33"	"2012"	1.27	21
"HEG34"	"2012"	1.49	24
"HEG35"	"2012"	1.19	25
"HEG36"	"2012"	3.02	33
"HEG37"	"2012"	3.02	20
"HEG38"	"2012"	2.15	34
"HEG39"	"2012"	1.33	26
"HEG40"	"2012"	2.01	31
"HEG41"	"2012"	1.53	60
"HEG42"	"2012"	0.7	51
"HEG43"	"2012"	1.4	63
"HEG44"	"2012"	1.13	49
"HEG45"	"2012"	0.81	36
"HEG46"	"2012"	0.79	43
"HEG47"	"2012"	1.57	31
"HEG48"	"2012"	1.44	30
"HEG49"	"2012"	0.97	28
"HEG50"	"2012"	1.05	36
"SEG01"	"2012"	1.83	20
"SEG02"	"2012"	2.01	15
"SEG03"	"2012"	1.83	18
"SEG04"	"2012"	0.94	9
"SEG05"	"2012"	1.77	17
"SEG06"	"2012"	1.45	13
"SEG07"	"2012"	1.99	16
"SEG08"	"2012"	1.8	15
"SEG09"	"2012"	2.05	14
"SEG10"	"2012"	1.75	17
"SEG11"	"2012"	1.75	22
"SEG12"	"2012"	1.83	15
"SEG13"	"2012"	1.37	27
"SEG14"	"2012"	1.24	16
"SEG15"	"2012"	1.42	20
"SEG16"	"2012"	2.42	19
"SEG17"	"2012"	1.43	18
"SEG18"	"2012"	1.37	20
"SEG19"	"2012"	1.47	17
"SEG20"	"2012"	1.46	14
"SEG21"	"2012"	1.39	25
"SEG22"	"2012"	1.82	19
"SEG23"	"2012"	2.22	9
"SEG24"	"2012"	0.97	20
"SEG25"	"2012"	1.37	24
"SEG26"	"2012"	2.22	14
"SEG27"	"2012"	0.97	22
"SEG28"	"2012"	1.37	16
"SEG29"	"2012"	0.97	22
"SEG30"	"2012"	1.37	18
"SEG31"	"2012"	1.37	20
"SEG32"	"2012"	1.37	17
"SEG33"	"2012"	2.14	18
"SEG34"	"2012"	2.09	21
"SEG35"	"2012"	2.02	22
"SEG36"	"2012"	1.38	22
"SEG37"	"2012"	1.64	25
"SEG38"	"2012"	1.58	21
"SEG39"	"2012"	1.15	18
"SEG40"	"2012"	1.9	28
"SEG41"	"2012"	1.2	20
"SEG42"	"2012"	4.05	24
"SEG43"	"2012"	1.4	21
"SEG44"	"2012"	1.43	16
"SEG45"	"2012"	1.31	20
"SEG46"	"2012"	2.3	20
"SEG47"	"2012"	1.75	19
"SEG48"	"2012"	1.59	24
"SEG49"	"2012"	1.57	26
"SEG50"	"2012"	0.68	27
"AEG01"	"2013"	1.94	32
"AEG02"	"2013"	2.52	17
