"Plot"	"Year"	"LUI"	"rich_26spp"
"SEG41"	"2011"	1.61	9
"SEG42"	"2011"	2.09	12
"SEG43"	"2011"	2.03	11
"SEG44"	"2011"	1.23	12
"SEG45"	"2011"	1.68	13
"SEG46"	"2011"	2.06	8
"SEG47"	"2011"	1.65	11
"SEG48"	"2011"	1.45	10
"SEG49"	"2011"	1.32	13
"SEG50"	"2011"	1.39	12
"AEG01"	"2012"	2.35	16
"AEG02"	"2012"	2.84	0
"AEG03"	"2012"	1.1	16
"AEG04"	"2012"	1.84	14
"AEG05"	"2012"	1.74	15
"AEG06"	"2012"	2.26	17
"AEG07"	"2012"	0.53	6
"AEG08"	"2012"	1.19	14
"AEG09"	"2012"	0.72	6
"AEG10"	"2012"	0.97	16
"AEG11"	"2012"	2.15	15
"AEG12"	"2012"	2.22	16
"AEG13"	"2012"	2	13
"AEG14"	"2012"	2.53	16
"AEG15"	"2012"	3.09	13
"AEG16"	"2012"	1.5	19
"AEG17"	"2012"	1.72	16
"AEG18"	"2012"	2.53	18
"AEG19"	"2012"	1.72	13
"AEG20"	"2012"	0.8	13
"AEG21"	"2012"	2.29	17
"AEG22"	"2012"	1.09	14
"AEG23"	"2012"	1.72	15
"AEG24"	"2012"	2.35	15
"AEG25"	"2012"	0.56	8
"AEG26"	"2012"	1.47	4
"AEG27"	"2012"	1.01	6
"AEG28"	"2012"	1.38	16
"AEG29"	"2012"	1.34	17
"AEG30"	"2012"	1.68	17
"AEG31"	"2012"	1.52	12
"AEG32"	"2012"	0.99	14
"AEG33"	"2012"	1.07	13
"AEG34"	"2012"	1.55	15
"AEG35"	"2012"	1.95	17
"AEG36"	"2012"	1.75	18
"AEG37"	"2012"	2.08	13
"AEG38"	"2012"	1.37	16
"AEG39"	"2012"	2	14
"AEG40"	"2012"	1.94	15
"AEG41"	"2012"	2.7	16
"AEG42"	"2012"	2.22	19
"AEG43"	"2012"	1.05	12
"AEG44"	"2012"	1.27	18
"AEG45"	"2012"	1.68	12
"AEG46"	"2012"	1.29	17
"AEG47"	"2012"	0.72	6
"AEG48"	"2012"	0.63	5
"AEG49"	"2012"	1.18	14
"AEG50"	"2012"	1.56	13
"HEG01"	"2012"	2.77	9
"HEG02"	"2012"	2.42	4
"HEG03"	"2012"	2.6	7
"HEG04"	"2012"	1.5	8
"HEG05"	"2012"	2.84	13
"HEG06"	"2012"	1.49	12
"HEG07"	"2012"	1.7	11
"HEG08"	"2012"	0.8	15
"HEG09"	"2012"	0.56	18
"HEG10"	"2012"	1.04	13
"HEG11"	"2012"	0.97	12
"HEG12"	"2012"	2.96	10
"HEG13"	"2012"	1.74	12
"HEG14"	"2012"	2.66	15
"HEG15"	"2012"	2.74	14
"HEG16"	"2012"	1.59	14
"HEG17"	"2012"	0.7	13
"HEG18"	"2012"	0.81	12
"HEG19"	"2012"	0.7	14
"HEG20"	"2012"	1.53	18
"HEG21"	"2012"	0.86	10
"HEG22"	"2012"	1.45	13
"HEG23"	"2012"	1.19	13
"HEG24"	"2012"	1.66	15
"HEG25"	"2012"	1.2	12
"HEG26"	"2012"	0.97	9
"HEG27"	"2012"	1.96	13
"HEG28"	"2012"	1.37	13
"HEG29"	"2012"	1.37	13
"HEG30"	"2012"	2.71	12
"HEG31"	"2012"	1.94	15
"HEG32"	"2012"	2.11	6
"HEG33"	"2012"	1.27	11
"HEG34"	"2012"	1.49	11
"HEG35"	"2012"	1.19	13
"HEG36"	"2012"	3.02	14
"HEG37"	"2012"	3.02	12
"HEG38"	"2012"	2.15	16
"HEG39"	"2012"	1.33	14
"HEG40"	"2012"	2.01	15
"HEG41"	"2012"	1.53	15
"HEG42"	"2012"	0.7	15
"HEG43"	"2012"	1.4	15
"HEG44"	"2012"	1.13	16
"HEG45"	"2012"	0.81	16
"HEG46"	"2012"	0.79	13
"HEG47"	"2012"	1.57	16
"HEG48"	"2012"	1.44	13
"HEG49"	"2012"	0.97	15
"HEG50"	"2012"	1.05	13
"SEG01"	"2012"	1.83	11
"SEG02"	"2012"	2.01	8
"SEG03"	"2012"	1.83	10
"SEG04"	"2012"	0.94	4
"SEG05"	"2012"	1.77	9
